２．うわさ話など

話し手
　Ａ　武田　ふさ　　女　明治32年　富山村生れ
　Ｂ　田辺　正一　　男　明治34年　富山村生れ
　Ｃ　堤　　ふじよ　女　明治39年　富山村生れ
〈Ｙ　山口　幸洋　　男　昭和11年　静岡県新居町生れ〉

0334903|Ａ|アンナヒトカ゜　ヤムナンチャー　モー　コリャ　ムリダッテ　ヤリソーナニ　ガッコーヤナイッカワ　オカネヤナニャー　カマワッコネー　アレー　デテデテ　デスエテ　ネー|あんな人が　病むなんて言えば　もう　こりゃ　むりだって　やりそうなのに　学校なんかは　お金や何かは　構わず　あれに　出て出て　出尽くして　ね
0334906|Ｃ|オサケカ゜　スキ゜ルデ|お酒が　過ぎるから
0334907|Ｂ|サケカ゜　スキ゜ルデ　イカン　アノー　ソノ　ナニャー　アンナ　タイカクナラエー　ソリャー　フントー　オニニ　カナボーッチューヨーナ　タイカクダゾ　アリャー　マー　フント　エー　タイカクダー|酒が　過ぎるから　いけない　あのう　その　何は　あんな　体格ならねえ　そりゃあ　本当だ　鬼に　金棒っていうような　体格だぞ　あれは　まあ　本当に　良い　体格だよ
0334911|Ｃ|イー　タイカクダナー|良い　体格だなあ
0334912|Ａ|ヨークテ　キタカイネー|〔病院から〕良く〔なって〕　来たのかしら
0334913|Ｂ|アー　ヨクテ　キタ　ドーモ　サキャー　ヤマルト　チョーシカ゜　イーダ　アレデ　サキャー　ヤマルト　チョーシカ゜　イーダーノ|あゝ　良くて　来た。どうも　酒は　止まると　調子が　良いのだ　あれで　酒は　やまると　調子が　良いんだなあ
0335002|Ｃ|アノ　ノマント　チョーシカ゜　イーダーネ|あの　飲まないと　調子が　良いんだよね
0335003|Ｂ|アー　ノマント　チョーシカ゜　イーダ|あゝ　飲まないと　調子が　良いのだ
0335004|Ｃ|アノー　イヤダッテ　チットモ　ホシクナイッテ　ユーンナ|あの〔酒は〕　いやだって　少しも　欲しくないって　言うがな
0335005|Ｂ|ホイデ　ヤメタカ|それで　やめたか
0335006|Ｃ|チットモ　ノムノ　ホシカナイヨッテユー|少しも　飲むの　欲しくはないよって言う
0335007|Ｂ|ホンター　ソレダトヤェー　マタ　ハチジューク゜ライマデ　イキルナー　オジーマデワ　サキマデ|本当は　それだとね　又　八十ぐらいまで　生きるな　お爺さんまでは　将来
0335009|Ｃ|ハチジューマデワ　イキャーシンワネー|八十までは　生きやしないよ
0335010|Ｂ|イキルゾ　アレデ　ヤメリャー|生きるぞ　あれで　〔酒を〕やめれば
0335011|Ｃ|ソレー　ハイルラカネー　ハナスコトカ゜|それに　〔テープレコーダー〕入るだろうかね　話すことが
0335012|Ｙ|ウン　オバサンニネー　ウター　ウタッテ　ウター　ウタッテ　モラワートモッテ|うん　おばさんにね　歌を　歌って　歌を　歌って　貰おうと思って
0335101|Ｃ|ウターカネ　マズ　コマル|歌をかね　それは　困る
0335102|Ｙ|ウタカ゜　ウマイチューデ|歌が　うまいっていうから
0335103|Ｃ|ウタウ　マズ　トシカ゜　ダメダネー　コトシ　ボンニ　ウタッテ　ミタッツカ゜ネー　コンキーヨ|歌うことは　まず　年が〔寄ったから〕　だめだね　今年　盆に　歌って　みたけれど　疲れるよ
0335105|Ａ|コンキーカイ　ショーチューノ　イッパェーモ　ノミャー　ウタイエルカ|疲れるかい　しょうちゅうの　一杯も　飲めば　歌うことができるか
0335107|Ｃ|ショーチューナン　ノミャー　ヨケー　ダメダヨ　ウター　スキダカ゜ネー　ワシャー　スキデヨー　アノー　ヨルネー　ネドコエ　アノー　イマノネー　ナンチュー　【テー】　テープジャナイ　アノー　プレヤーオヨー　モッテットイテ　イマノ　シンシキノ　ウタウォネー　カケチャーヨー　ネブタクナル　マー　ネムタスキ゜テ　マー　ソレモ　サンマイク゜ライ　ヤルト　タダ　ネーッチャウヨ|しょうちゅうなど　飲めば　よけい　だめだよ　歌は　好きだがね　私は。好きでね　あの　夜ね　寝室へ　あのう　今のね　何というか　テープじゃない　あの　プレヤーをね　持って行っといて　今の　新式の　歌をね　かけてはね　眠たくなる〔まで〕　まあ〔それが〕　眠たすぎて　まあ　それも　三枚ぐらい　やると　ただ〔自然に〕　寝入っちゃうよ
